Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Property_Type,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,Buyer_Concession_to_Seller,Buyer_Concession_$/%,Seller_Concession_to_Buyer,Seller_Concession_$/%
85014,TH,2,2.5,"1,773",349.69,Residential,Attached,2017,"1,203",Community,,N,,BASEMENT Y/N: N,,"615,000","620,000",,,,2,0,Conventional,,0,$,0,$
85014,TH,3,2.5,"2,202",320.16,Residential,Attached,2021,"1,468",Community,,N,,BASEMENT Y/N: N,,"749,900","705,000",,,,2,0,Cash,,0,$,0,$
85014,TH,2,2.5,"1,225",297.96,Residential,Attached,1991,569,Both,,N,,BASEMENT Y/N: N,,"359,500","365,000",,,,0,1,Conventional,,0,$,5000,$
85014,TH,3,2,"1,680",321.42,Residential,Attached,1973,0,Community,,N,,BASEMENT Y/N: N,,"559,000","540,000",,,,2,0,Conventional,,0,%,2.5,%
85014,SF,4,3,"2,372",503.79,Residential,Detached,1953,"14,597",Private,,N,,BASEMENT Y/N: N,,"1,189,000","1,195,000",,,,2,0,Cash to Loan,,0,$,0,$
85014,PH,2,2,"1,743",295.47,Residential,Attached,1970,"3,807",Community,,N,,BASEMENT Y/N: N,,"515,000","515,000",,,,0,2,FHA,,0,$,0,$
85014,SF,3,2,"1,830",614.75,Residential,Detached,1950,"7,133",Private,,N,,BASEMENT Y/N: N,,"1,189,000","1,125,000",,,,0,1,Cash,,0,$,0,$
85014,SF,4,2.5,"2,200",442.27,Residential,Detached,1955,"13,830",None,,N,,BASEMENT Y/N: N,,"975,000","973,000",,,,2,0,Other,,0,$,0,$
85015,TH,2,1.5,"1,320",184.85,Residential,Attached,1964,774,Community,400,N,,BASEMENT Y/N: N,,"244,400","244,000",,Yes,,0,0,Conventional,Fixed,0,%,3,%
85015,TH,2,1.5,"1,152",173.52,Residential,Attached,1963,409,Community,245,N,Yes,BASEMENT Y/N: N,Yes,"199,900","199,900",String,Yes,,0,2,Other,Other,0,$,3000,$
