,Zip_Code,Dwelling_Type,Nr_Bedrooms,Nr_Bathrooms,Approx_SQFT,Price_per_SqFt,Dwelling_Styles,Year_Built,Approx_Lot_SqFt,Pool,HOA_Fee,Land_Lease_Fee,Clubhouse_Rec_Room,Basement,RV_Gate,List_Price,Sold_Price,Building_Style,Gated_Community,Workout_Facility,Garage_Spaces,Carport_Spaces,Loan_Type,Payment_Type,HOA_Missing,Buyer_Concession,Seller_Concession,diff_List_Sold
76,85013,AF,2,2.0,1425,217.54,Stacked,1963,203131,Community,225.0,N,No,N,No,330000,310000,Missing,No,No,0.0,1.0,Conventional,Fixed,0,0.0,2500.0,-20000
77,85013,AF,1,1.0,914,311.81,Stacked,1961,922,Community,200.0,N,No,N,No,295000,285000,Missing,No,No,0.0,1.0,Conventional,Fixed,0,0.0,8500.0,-10000
78,85013,PH,2,2.0,1350,250.37,Attached,1965,1454,Community,880.0,N,No,N,No,399000,338000,Missing,No,No,0.0,2.0,Cash,Fixed,0,0.0,0.0,-61000
79,85013,AF,1,1.0,738,281.16,Attached,1996,828,Community,,N,No,N,No,214900,207500,Missing,No,No,0.0,1.0,Cash,Fixed,1,0.0,0.0,-7400
80,85013,SF,3,2.0,1522,344.94,Detached,1956,8377,no_pool,,N,No,N,No,525000,525000,Missing,No,No,0.0,2.0,Conventional,Fixed,1,0.0,10500.0,0
81,85013,PH,2,2.0,1703,299.47,Detached,1978,3633,Private,,N,No,N,No,499900,510000,Missing,No,No,2.0,0.0,Conventional,Fixed,1,0.0,0.0,10100
82,85013,TH,2,2.5,1077,343.55,Attached,1980,814,Community,,N,No,N,No,375000,370000,Missing,No,No,0.0,2.0,Other,Fixed,1,0.0,2500.0,-5000
83,85013,SF,3,2.0,1312,449.69,Detached,1957,6477,Private,,N,No,N,No,599000,590000,Missing,No,No,0.0,1.0,FHA,Other,1,0.0,0.0,-9000
84,85013,PH,3,2.0,1530,333.33,Attached,1979,2618,Community,,N,No,N,No,525000,510000,Missing,No,No,2.0,0.0,Conventional,Fixed,1,0.0,3950.0,-15000
85,85013,TH,3,2.0,1552,344.72,Attached,1965,1799,Community,,N,No,N,No,535000,535000,Missing,No,No,0.0,2.0,Conventional,Fixed,1,0.0,0.0,0
86,85013,TH,2,2.0,966,383.02,Attached,1999,534,Community,,N,No,Y,No,370000,370000,Missing,No,No,1.0,0.0,Cash,Other,1,0.0,0.0,0
87,85013,TH,3,2.0,1530,311.76,Attached,1979,2932,Community,,N,No,N,No,487000,477000,Missing,No,No,0.0,2.0,Cash,Fixed,1,0.0,0.0,-10000
88,85013,SF,3,2.0,1528,415.58,Detached,1952,10572,Private,,N,No,N,No,650000,635000,Missing,No,No,2.0,2.0,Conventional,Fixed,1,0.0,5000.0,-15000
89,85013,AF,2,2.0,1296,243.06,Attached,1973,1032,Community,,N,No,N,No,315000,315000,Missing,No,No,0.0,2.0,Conventional,Fixed,1,0.0,8000.0,0
90,85013,SF,3,2.0,1944,335.39,Detached,1956,8812,Private,,N,No,N,No,675000,652000,Missing,No,No,0.0,1.0,Conventional,Fixed,1,0.0,0.0,-23000
91,85013,SF,3,1.5,1658,242.15,Detached,1946,8503,no_pool,,N,No,N,No,370000,401500,Missing,No,No,2.0,0.0,Cash,Other,1,0.0,4000.0,31500
92,85013,SF,3,2.0,2064,331.87,Detached,1956,11269,no_pool,,N,No,N,No,685000,685000,Missing,No,No,0.0,1.0,Conventional,Missing,1,0.0,6000.0,0
93,85013,SF,3,2.0,1753,326.29,Detached,1954,9697,no_pool,,N,No,N,No,565000,572000,Missing,No,No,0.0,0.0,Cash,Missing,1,0.0,0.0,7000
94,85014,AF,1,1.0,760,325.65,Stacked,1999,760,Community,,N,No,N,No,250000,247500,Missing,No,No,0.0,1.0,Conventional,Missing,1,0.0,7500.0,-2500
95,85014,PH,3,2.0,1912,243.2,Detached,1972,3354,Community,,N,No,N,No,475000,465000,Missing,No,No,2.0,0.0,Conventional,Missing,1,0.0,11000.0,-10000
96,85014,SF,3,2.0,1283,370.22,Detached,1998,7110,Private,,N,No,N,No,499000,475000,Missing,No,No,2.0,0.0,Conventional,Missing,1,0.0,0.0,-24000
97,85014,TH,3,2.0,1844,271.14,Attached,1975,3110,Community,,N,No,N,No,519990,500000,Missing,No,No,2.0,0.0,Cash,Missing,1,0.0,2500.0,-19990
98,85014,TH,1,1.0,760,361.84,Stacked,1999,760,Community,,N,No,N,No,279000,275000,Missing,No,No,1.0,0.0,Conventional,Missing,1,0.0,8370.0,-4000
99,85014,TH,2,2.0,1102,362.06,Attached,2008,788,Private,,N,No,N,No,405000,399000,Missing,No,No,2.0,0.0,Cash,Missing,1,0.0,0.0,-6000
100,85014,SF,4,3.5,2319,271.66,Detached,1950,8943,Private,,N,No,N,No,649000,630000,Missing,No,No,0.0,1.0,Conventional,Missing,1,0.0,0.0,-19000
101,85014,SF,5,2.0,1466,204.63,Detached,1952,5924,no_pool,,N,No,N,No,340000,300000,Missing,No,No,0.0,0.0,Cash,Missing,1,0.0,0.0,-40000
102,85014,SF,2,1.0,796,496.23,Detached,1933,6000,no_pool,,N,No,N,No,425000,395000,Missing,No,No,0.0,1.0,Cash,Missing,1,0.0,0.0,-30000
103,85014,SF,3,2.0,1577,475.58,Detached,1952,8298,no_pool,,N,No,N,No,775000,750000,Missing,No,No,0.0,2.0,Cash,Missing,1,0.0,0.0,-25000
104,85014,SF,3,2.0,1315,430.42,Detached,1954,6521,Private,,N,No,N,No,565000,566000,Missing,No,No,0.0,1.0,Conventional,Missing,1,0.0,0.0,1000
105,85014,SF,3,2.0,1291,498.83,Detached,1954,6778,Private,,N,No,N,No,644000,644000,Missing,No,No,0.0,1.0,Conventional,Missing,1,19320.0,0.0,0
106,85014,SF,2,2.0,1335,460.67,Detached,1940,8100,no_pool,,N,No,N,No,599000,615000,Missing,No,No,0.0,1.0,Conventional,Missing,1,0.0,12000.0,16000
107,85014,TH,2,2.5,1773,349.69,Attached,2017,1203,Community,,N,No,N,No,615000,620000,Missing,No,No,2.0,0.0,Conventional,Missing,1,0.0,0.0,5000
108,85014,TH,3,2.5,2202,320.16,Attached,2021,1468,Community,,N,No,N,No,749900,705000,Missing,No,No,2.0,0.0,Cash,Missing,1,0.0,0.0,-44900
109,85014,TH,2,2.5,1225,297.96,Attached,1991,569,Both,,N,No,N,No,359500,365000,Missing,No,No,0.0,1.0,Conventional,Missing,1,0.0,5000.0,5500
110,85014,TH,3,2.0,1680,321.42,Attached,1973,0,Community,,N,No,N,No,559000,540000,Missing,No,No,2.0,0.0,Conventional,Missing,1,0.0,13975.0,-19000
111,85014,SF,4,3.0,2372,503.79,Detached,1953,14597,Private,,N,No,N,No,1189000,1195000,Missing,No,No,2.0,0.0,Cash to Loan,Missing,1,0.0,0.0,6000
112,85014,PH,2,2.0,1743,295.47,Attached,1970,3807,Community,,N,No,N,No,515000,515000,Missing,No,No,0.0,2.0,FHA,Missing,1,0.0,0.0,0
113,85014,SF,3,2.0,1830,614.75,Detached,1950,7133,Private,,N,No,N,No,1189000,1125000,Missing,No,No,0.0,1.0,Cash,Missing,1,0.0,0.0,-64000
114,85014,SF,4,2.5,2200,442.27,Detached,1955,13830,no_pool,,N,No,N,No,975000,973000,Missing,No,No,2.0,0.0,Other,Missing,1,0.0,0.0,-2000
115,85015,TH,2,1.5,1320,184.85,Attached,1964,774,Community,400.0,N,No,N,No,244400,244000,Missing,Yes,No,0.0,0.0,Conventional,Fixed,0,0.0,7332.0,-400
116,85015,TH,2,1.5,1152,173.52,Attached,1963,409,Community,245.0,N,Yes,N,Yes,199900,199900,String,Yes,No,0.0,2.0,Other,Other,0,0.0,3000.0,0
117,85015,SF,3,1.0,1645,213.37,Detached,1941,9426,no_pool,269.47,N,Yes,N,Yes,350000,351000,Clustered,Yes,No,2.0,0.0,Other,Other,0,0.0,0.0,1000
118,85015,SF,3,2.0,1008,355.15,Detached,1956,16281,no_pool,215.0,N,No,N,Yes,398000,358000,String,No,No,1.0,0.0,Cash,Fixed,0,0.0,0.0,-40000
119,85015,TH,3,2.0,1894,197.99,Attached,1974,3123,Community,230.0,N,No,N,Yes,389500,375000,Missing,No,No,2.0,0.0,Conventional,Fixed,0,0.0,800.0,-14500
120,85015,TH,4,2.5,1584,216.48,Attached,1965,1752,Community,0.0,N,No,N,Yes,342900,342900,Missing,No,No,0.0,2.0,Conventional,Fixed,0,0.0,7500.0,0
121,85015,SF,3,2.0,1793,245.34,Detached,1956,8381,Private,230.0,N,No,N,No,439900,439900,Missing,No,No,0.0,1.0,Conventional,Other,0,0.0,10195.32,0
122,85015,TH,2,2.0,1034,290.14,Attached,1973,2078,no_pool,272.0,N,No,N,No,310000,300000,Missing,No,No,0.0,2.0,FHA,Fixed,0,0.0,13000.0,-10000
123,85015,TH,1,1.0,648,234.56,Attached,1954,756,no_pool,360.0,N,No,N,No,180000,152000,Missing,No,No,0.0,1.0,Cash,Fixed,0,0.0,0.0,-28000
124,85015,AF,2,2.0,789,228.13,Attached,1986,90,Community,308.0,N,No,N,No,200000,180000,Missing,No,No,0.0,1.0,Conventional,Fixed,0,0.0,0.0,-20000
125,85015,SF,3,1.75,1302,307.18,Detached,1958,7157,no_pool,228.0,N,No,N,No,399950,399950,Missing,No,No,1.0,0.0,Conventional,Fixed,0,0.0,3999.5,0
126,85015,SF,3,2.0,1403,387.03,Detached,1945,9365,no_pool,160.0,N,No,N,No,530000,543000,Missing,No,No,1.0,1.0,FHA,Fixed,0,0.0,23500.0,13000
127,85015,AF,2,2.5,1349,240.91,Attached,2004,97,Community,,N,No,N,No,325000,325000,Missing,No,No,2.0,0.0,Conventional,Fixed,1,0.0,9750.0,0
128,85015,SF,4,2.0,1168,209.76,Detached,1948,3900,no_pool,,N,No,N,No,245000,245000,Missing,No,No,0.0,0.0,Conventional,Fixed,1,2170.0,0.0,0
129,85015,SF,3,2.0,1621,228.25,Detached,1950,7410,no_pool,,N,No,N,No,375000,370000,Missing,No,No,0.0,0.0,Cash,Fixed,1,0.0,0.0,-5000
130,85015,AF,2,1.75,863,229.43,Stacked,1985,863,Community,,N,No,N,No,195000,198000,Missing,No,No,0.0,1.0,Conventional,Fixed,1,0.0,9750.0,3000
131,85015,SF,4,2.0,2277,199.82,Detached,1958,8638,Private,,N,No,N,No,459000,455000,Missing,No,No,0.0,2.0,FHA,Other,1,0.0,10000.0,-4000
132,85015,TH,3,1.5,1226,188.01,Attached,1981,69805,Community,,N,No,N,No,237650,230500,Missing,No,No,0.0,1.0,Conventional,Missing,1,0.0,7000.0,-7150
133,85015,TH,4,2.75,1608,172.88,Attached,1967,2187,Community,,N,No,N,No,278000,278000,Missing,No,No,0.0,2.0,FHA,Missing,1,0.0,12400.0,0
134,85015,SF,2,1.0,936,454.05,Detached,1951,8181,no_pool,,N,No,N,No,424900,425000,Missing,No,No,1.0,0.0,Conventional,Missing,1,0.0,12747.0,100
135,85015,SF,3,1.0,1275,276.08,Detached,1954,6939,no_pool,,N,No,N,No,349999,352000,Missing,No,No,0.0,1.0,FHA,Missing,1,0.0,0.0,2001
136,85015,SF,3,1.0,1539,253.41,Detached,1949,8695,no_pool,,N,No,N,No,425000,390000,Missing,No,No,0.0,1.0,Cash,Missing,1,0.0,0.0,-35000
137,85015,SF,3,2.0,1550,254.83,Detached,1982,6787,no_pool,,N,No,N,No,395000,395000,Missing,No,No,0.0,0.0,Cash,Missing,1,0.0,0.0,0
138,85015,TH,2,1.5,1080,196.2,Attached,1964,618,Community,,N,No,N,No,209900,211900,Missing,No,No,1.0,1.0,FHA,Missing,1,0.0,0.0,2000
139,85015,SF,3,2.0,1670,211.08,Detached,1950,7593,no_pool,,N,No,N,No,375000,352500,Missing,No,No,0.0,0.0,Cash,Missing,1,0.0,0.0,-22500
